20250505194438,10.0.0.3,58504,10.0.0.4,5001,1,0.0-1.0,395430,3163440,0.000,0,269,0.000,0
20250505194439,10.0.0.3,58504,10.0.0.4,5001,1,1.0-2.0,392490,3139920,0.000,0,267,0.000,0
20250505194440,10.0.0.3,58504,10.0.0.4,5001,1,2.0-3.0,393960,3151680,0.000,0,268,0.000,0
20250505194441,10.0.0.3,58504,10.0.0.4,5001,1,3.0-4.0,392490,3139920,0.000,0,267,0.000,0
20250505194442,10.0.0.3,58504,10.0.0.4,5001,1,4.0-5.0,393960,3151680,0.000,0,268,0.000,0
20250505194443,10.0.0.3,58504,10.0.0.4,5001,1,5.0-6.0,392490,3139920,0.000,0,267,0.000,0
20250505194444,10.0.0.3,58504,10.0.0.4,5001,1,6.0-7.0,393960,3151680,0.000,0,268,0.000,0
20250505194445,10.0.0.3,58504,10.0.0.4,5001,1,7.0-8.0,392490,3139920,0.000,0,267,0.000,0
20250505194446,10.0.0.3,58504,10.0.0.4,5001,1,8.0-9.0,393960,3151680,0.000,0,268,0.000,0
20250505194447,10.0.0.3,58504,10.0.0.4,5001,1,9.0-10.0,392490,3139920,0.000,0,267,0.000,0
20250505194448,10.0.0.3,58504,10.0.0.4,5001,1,10.0-11.0,393960,3151680,0.000,0,268,0.000,0
20250505194449,10.0.0.3,58504,10.0.0.4,5001,1,11.0-12.0,392490,3139920,0.000,0,267,0.000,0
20250505194450,10.0.0.3,58504,10.0.0.4,5001,1,12.0-13.0,393960,3151680,0.000,0,268,0.000,0
20250505194451,10.0.0.3,58504,10.0.0.4,5001,1,13.0-14.0,392490,3139920,0.000,0,267,0.000,0
20250505194452,10.0.0.3,58504,10.0.0.4,5001,1,14.0-15.0,393960,3151680,0.000,0,268,0.000,0
20250505194453,10.0.0.3,58504,10.0.0.4,5001,1,15.0-16.0,392490,3139920,0.000,0,267,0.000,0
20250505194454,10.0.0.3,58504,10.0.0.4,5001,1,16.0-17.0,393960,3151680,0.000,0,268,0.000,0
20250505194455,10.0.0.3,58504,10.0.0.4,5001,1,17.0-18.0,392490,3139920,0.000,0,267,0.000,0
20250505194456,10.0.0.3,58504,10.0.0.4,5001,1,18.0-19.0,393960,3151680,0.000,0,268,0.000,0
20250505194457,10.0.0.3,58504,10.0.0.4,5001,1,19.0-20.0,392490,3139920,0.000,0,267,0.000,0
20250505194456,10.0.0.3,58504,10.0.0.4,5001,1,0.0-20.0,7868910,3146890,-nan,0,-1,-0.000,0
